sectorTo,sectorFrom,supplySector,scenario,x,region,subRegion,units,param,value
industrial,Electricity_Import,Electricity,Reference,0,Argentina,Colorado,GWh,param,423.312015593382
industrial,Electricity_RefLiqDiesel,Electricity,Reference,0,Argentina,Colorado,GWh,param,172.090408085939
Livestock,W_SW_Runoff,Water,Reference,0,Argentina,Colorado,km3,param,0.005064497
Livestock,Water_all,Water,Reference,0,Argentina,Colorado,km3,param,0.005064497
municipal,W_SW_Runoff,Water,Reference,0,Argentina,Colorado,km3,param,0.01432
municipal,Water_all,Water,Reference,0,Argentina,Colorado,km3,param,0.01432
other,Electricity_all,Electricity,Reference,0,Argentina,Colorado,GWh,param,315.166707834
other,Electricity_Gas,Electricity,Reference,0,Argentina,Colorado,GWh,param,71.9067376936941
other,Electricity_Hydro,Electricity,Reference,0,Argentina,Colorado,GWh,param,45.9001879638837
other,Electricity_Import,Electricity,Reference,0,Argentina,Colorado,GWh,param,162.70521213939
other,Electricity_RefLiqDiesel,Electricity,Reference,0,Argentina,Colorado,GWh,param,34.6545700370325
residential,Electricity_all,Electricity,Reference,0,Argentina,Colorado,GWh,param,451.369196352
residential,Electricity_Gas,Electricity,Reference,0,Argentina,Colorado,GWh,param,39.9169534552083
residential,Electricity_Hydro,Electricity,Reference,0,Argentina,Colorado,GWh,param,89.4154426533198
residential,Electricity_Import,Electricity,Reference,0,Argentina,Colorado,GWh,param,302.116612021668
residential,Electricity_RefLiqDiesel,Electricity,Reference,0,Argentina,Colorado,GWh,param,19.9201882218039
surplus,W_SW_Runoff,Water,Reference,0,Argentina,Colorado,km3,param,17.534415296
surplus,Water_all,Water,Reference,0,Argentina,Colorado,km3,param,17.534415296
total,Ag_cereals,Agriculture,Reference,0,Argentina,Colorado,km2,param,539.15
total,Ag_forest,Agriculture,Reference,0,Argentina,Colorado,km2,param,0.78
total,Ag_fruittrees,Agriculture,Reference,0,Argentina,Colorado,km2,param,51.58
total,Ag_pasture,Agriculture,Reference,0,Argentina,Colorado,km2,param,797.54
total,Ag_specialty,Agriculture,Reference,0,Argentina,Colorado,km2,param,6.32
total,Ag_vegetables,Agriculture,Reference,0,Argentina,Colorado,km2,param,174.59
total,Agriculture_all,Agriculture,Reference,0,Argentina,Colorado,km2,param,1569.96
total,Electricity_all,Electricity,Reference,0,Argentina,Colorado,GWh,param,2053.66946221
total,Electricity_Gas,Electricity,Reference,0,Argentina,Colorado,GWh,param,476.34584256
total,Electricity_Hydro,Electricity,Reference,0,Argentina,Colorado,GWh,param,315.57505
total,Electricity_Import,Electricity,Reference,0,Argentina,Colorado,GWh,param,1034.528239411
total,Electricity_RefLiqDiesel,Electricity,Reference,0,Argentina,Colorado,GWh,param,227.220330239
total,Livestock_all,Livestock,Reference,0,Argentina,Colorado,head,param,262979
total,Livestock_bulls,Livestock,Reference,0,Argentina,Colorado,head,param,5408
total,Livestock_calves,Livestock,Reference,0,Argentina,Colorado,head,param,45924
total,Livestock_cows,Livestock,Reference,0,Argentina,Colorado,head,param,127040
total,Livestock_heifers,Livestock,Reference,0,Argentina,Colorado,head,param,37136
total,Livestock_steers,Livestock,Reference,0,Argentina,Colorado,head,param,47471
total,W_SW_Runoff,Water,Reference,0,Argentina,Colorado,km3,param,4.6074
total,Water_all,Water,Reference,0,Argentina,Colorado,km3,param,4.6074
